autor_original	autor_normalizado
Scalae (Pacius)	Scalae (Pacius)
Scaligeri (Josephi)	Scaligeri (Josephi)
Scaligeri (Josephi praecedent. filii)	Scaligeri (Josephi praecedent filii)
Scaligeri (Julii Caesaris)	Scaligeri (Julii Caesaris)
Scals y Zalcedo (D.° Diego de)	Scals y Zalcedo (D.° Diego de)
Schamaneri (Guntheri Christophori)	Schamaneri (Guntheri Christophori)
Schambourg Lippe (Conde de)	Schambourg Lippe
Schardii (Simonis)	Schardii (Simonis)
Schefferi (Jo.)	Schefferi (Jo.)
Schefferi (Petr.)	Schefferi (Petr.)
Scheidio (Balthazare)	Scheidio (Balthazare)
Schelhornius (Jo. Georg.)	Schelhornius (Jo Georg.)
Schildio (Jo.)	Schildio (Jo.)
Schmidt (Joh.)	Schmidt (Joh.)
Schmier (C. Franc.)	Schmier (C Franc.)
Schneidt (Josef.)	Schneidt (Josef.)
Schoni (Anton.)	Schoni (Anton.)
Schonverner (Georgius)	Schonverner (Jorge)
Schonwetterus (Jo. Joseph.)	Schonwetterus (Jo Joseph.)
Schotti (And.)	Schotti (And.)
Schotto (D. Francisco)	Schotto (D Francisco)
Schraderi (D. Ludolphi)	Schraderi (D Ludolphi)
Schrevelii (Cornel.)	Schrevelii (Cornel.)
Schultingii (Antonii)	Schultingii (Antonio)
Schurman (Annae Mariae)	Schurman (Annae Mariae)
Schwara (P. Ignacio)	Schwara (P Ignacio)
Schwartii (Joachimi)	Schwartii (Joachimi)
Scialae (Victorii)	Scialae (Victorii)
Scioppii (Gasparis)	Scioppii (Gasparis)
Scotto (Francisco)	Scotto (Francisco)
Scribani (Carolus)	Scribani (Carlos)
Scribentii (Petri)	Scribentii (Pedro)
Seaman (Gulielmo)	Seaman (Gulielmo)
Sebeus (Joph.)	Sebeus (Joph.)
Sebiard (Thoma)	Sebiard (Thoma)
Secastilla (D. Josef Perez)	Secastilla (D Josef Perez)
Secundi Hajienis (Tom.)	Secundi Hajienis (Tom.)
Secundus (Raymundus)	Secundus (Raymundus)
Securis (C.V.)	Securis (C.V.)
Sedecma (Hyeronymo)	Sedecma (Hyeronymo)
Sedeni (Ira)	Sedeni (Ira)
Sedeño (Juan)	Sedeño (Juan)
Seduli (Fr. Enrici)	Seduli (Fr Enrici)
Séganus (Enen Relii)	Séganus (Enen Relii)
Segovia (D. Gaspar Ybanñez de)	Segovia (D Gaspar Ybanñez de)
Segovia (Jo.)	Segovia (Jo.)
Segundi (Petri)	Segundi (Pedro)
Segura Davalos (Jo.)	Segura Davalos (Jo.)
Segura (Didaci)	Segura (Didaci)
Segura (Fr. Bartholomei)	Segura (Fr Bartholomei)
Segura (Fr. Jacinto)	Segura (Fr Jacinto)
Segura (Jaime)	Segura (Jaime)
Segura (Martinus)	Segura (Martinus)
Seipasy Lobera (D. Fran. de)	Seipasy Lobera (D Fran de)
Seivel (Claude)	Seivel (Claude)
Selvagio (Julio Laurentio)	Selvagio (Julio Laurentio)
Semmedo (P. Albaro)	Semmedo (P Albaro)
Sempeni (Andrée)	Sempeni (Andrée)
Semperet Guaring (D. Juan)	Semperet Guaring (D Juan)
Senali (Roberto)	Senali (Roberto)
Senaut (D. Juan Francisco)	Senaut (D Juan Francisco)
Senckenberg (Henrici Christiani)	Senckenberg (Henrici Christiani)
Senecae (L. Annaci)	Senecae (L Annaci)
Senni (Giacinti)	Senni (Giacinti)
Sentmanat de Castellon (Exmo. D. Antonino)	Sentmanat de Castellon (D Antonino)
Sepulveda (D. Juan Gines de)	Sepulveda (D Juan Gines de)
Sepulveda (Seniens)	Sepulveda (Seniens)
Serna (D. Marco Bravo de la)	Serna (D Marco Bravo de la)
Serpi (Fr. Dimas)	Serpi (Fr Dimas)
Serra y Ferragut (D. Buenaventura)	Serra y Ferragut (D Buenaventura)
Serrani Valenti (tome)	Serrani Valenti (tome)
Serrano (D. Josef)	Serrano (D Josef)
Serrano (Lic. Domingo)	Serrano (Lic Domingo)
Serre (Sr. de la)	Serre (Sr de la)
Sertor (D. Gaetano)	Sertor (D Gaetano)
Servie (Lar. Mr.)	Servie (Lar Mr.)
Servita (R.P. Paolo)	Servita (R.P Paolo)
Sese (Josef de)	Sese (Josef de)
Seta (P. Valerio)	Seta (P Valerio)
Settala (Ludovico)	Settala (Ludovico)
Sevi (Jo. Cristiano)	Sevi (Jo Cristiano)
Sevieri (D. Pablo)	Sevieri (D Pablo)
Sevillano (D. Nicasio)	Sevillano (D Nicasio)
Sfortia (Cardinalis Robertus)	Sfortia (Cardinalis Robertus)
Sfrondati (Coelestino Car.)	Sfrondati (Coelestino Car.)
Sfrondati (Emmy Coelestinus)	Sfrondati (Emmy Coelestinus)
Sicardo (F. Juan Bautista)	Sicardo (F Juan Bautista)
Siculi (Diodoci)	Siculi (Diodoci)
Sigant de la Ford (cux.)	Sigant de la Ford (cux.)
Sigonii (Carol.)	Sigonii (Carol.)
Siguenza (Fr. Iosef)	Siguenza (Fr Iosef)
Silhon (N.)	Silhon (N.)
Silicey (Io. Martinus)	Silicey (Io Martinus)
Silici (Joannis)	Silici (Joannis)
Sillery (La Marquesa de)	Sillery (La de)
Silva (Rodrigo Mendez)	Silva (Rodrigo Mendez)
Silva (Rodrigo Mendez de)	Silva (Rodrigo Mendez de)
Silvii (Acneae)	Silvii (Acneae)
Simachi (J. Aurelio)	Simachi (J Aurelio)
Simancas (Jacobus)	Simancas (Jacobo)
Simeoni (Gabrielis)	Simeoni (Gabrielis)
Simocattae (Theophilacti)	Simocattae (Theophilacti)
Simon (D. Alfonso)	Simon (D Alfonso)
Simon (D. Juan Antonio)	Simon (D Juan Antonio)
Simon (F. Pedro)	Simon (F Pedro)
Simonetai (Bonifacci)	Simonetai (Bonifacci)
Simoni (F.)	Simoni (F.)
Sims (Mr. James)	Sims (Mr James)
Sinapii (Crucaelisi Aloytii)	Sinapii (Crucaelisi Aloytii)
Singilii (Pub. Cita.)	Singilii (Pub Cita.)
Sirizi (D. Hilario)	Sirizi (D Hilario)
Sirmendi (Jacobus)	Sirmendi (Jacobo)
Sistennet y Feliu (D. Manuel)	Sistennet y Feliu (D Manuel)
Sixtines (Regnerus)	Sixtines (Regnerus)
Slevogtius (Gottlieb)	Slevogtius (Gottlieb)
Smith (Thomas)	Smith (Tomás)
Soarez (Emanuele Laurentio)	Soarez (Emanuele Laurentio)
Sobrino (Francisco)	Sobrino (Francisco)
Socueva Arias Fustero (D. Fernando González de)	Socueva Arias Fustero (D Fernando González de)
Sofía (Pedro Antonio)	Sofía (Pedro Antonio)
Sol (D. Michael et ut alii volunt D. Francisco Serra)	Sol (D Miguel et ut alii volunt D Francisco Serra)
Solanes (D. Francisco)	Solanes (D Francisco)
Solano De Luque (Dr. D. Francisco)	Solano De Luque (Dr D Francisco)
Soler (Bernabé)	Soler (Bernabé)
Soler (D. Philip.)	Soler (D Philip.)
Solini (Julio)	Solini (Julio)
Solis (D.)	Solis (D.)
Solís (D. Alonso)	Solís (D Alonso)
Solis (D. Ant.)	Solis (D Ant.)
Solís (D. Antonio)	Solís (D Antonio)
Solis (Felicianus)	Solis (Felicianus)
Solís (Fr. Antonio)	Solís (Fr Antonio)
Solorzano (Bartolome Salvador)	Solorzano (Bartolome Salvador)
Solorzano (D. Gabriel)	Solorzano (D Gabriel)
Solorzano (D.D. Ioannes)	Solorzano (D Juan)
Solorzano Pereyra (D. Joannes)	Solorzano Pereyra (D Juan)
Somoza de Monserrate (D. Francisco)	Somoza de Monserrate (D Francisco)
Sora (D. Gabriel)	Sora (D Gabriel)
Sora (Ilmo. D. Fr. Francisco)	Sora (D Fr Francisco)
Sorel (Carlos)	Sorel (Carlos)
Soria y Vera (Ilmo. D. Melchor)	Soria y Vera (D Melchor)
Sota (Padre Predicador Fr. Fran.)	Sota (Predicador Fr Fran.)
Soto de Roxas (Lic. Pedro)	Soto de Roxas (Lic Pedro)
Soto (Fr. Dominici)	Soto (Fr Dominici)
Soto (Fr. Iuan)	Soto (Fr Iuan)
Soto (Fr. Petri)	Soto (Fr Pedro)
Soto (Fratris Dominici)	Soto (Fratris Dominici)
Soto (P.Fr. Petro à)	Soto (Fr Petro à)
Sousa (P. Antonii)	Sousa (P Antonio)
Soza (Fr. Gerónimo B.)	Soza (Fr Gerónimo B.)
Spanhemii (Ezechiel)	Spanhemii (Ezechiel)
Spenero (Filippo Jacopo)	Spenero (Filippo Jacopo)
Spiengeni (Just)	Spiengeni (Just)
Spini (Baldassarre)	Spini (Baldassarre)
Spino (Didaco)	Spino (Didaco)
Spizelio (Theophilo)	Spizelio (Theophilo)
Spon (ed.)	Spon (ed.)
Spon (Jacob)	Spon (Jacob)
Spordani (Henrici)	Spordani (Henrici)
Sprengens (Joseph Theodori)	Sprengens (Joseph Theodori)
Springfeldt (Georgii Heinrici)	Springfeldt (Jorge Heinrici)
Squilache (Principe de)	Squilache
Sta. Cruz (F. Juan)	Sta Cruz (F Juan)
Sta. Cruz (Marques de)	Sta Cruz
Sta. Cruz y Dueñas (D. Melchor)	Sta Cruz y Dueñas (D Melchor)
Sta. Ma (Ferdinando de)	Sta Ma (Ferdinando de)
Sta. Maria (F. Juan)	Sta Maria (F Juan)
Stapff (Jo Sigismundi)	Stapff (Jo Sigismundi)
Statii (Achilis)	Statii (Achilis)
Statii Lapini (Pub.)	Statii Lapini (Pub.)
Stefano Francese (Carlo di)	Stefano Francese (Carlo di)
Steinhart (P. Francisco)	Steinhart (P Francisco)
Stela (Fr. Diego)	Stela (Fr Diego)
Stengelio (Georgio)	Stengelio (Georgio)
Stenio (Matheo)	Stenio (Matheo)
Stephani (Carolus)	Esteban (Carlos)
Stephani (Henricus)	Esteban (Henricus)
Stephani (Ithni, Iacobi)	Esteban (Ithni Iacobi)
Stephani (Robert)	Esteban (Robert)
Stephanus (Iosephus)	Esteban (Iosephus)
Stipmanii (Francisci)	Stipmanii (Francisco)
Sto. Thomas (Fr. Fran. de)	Sto Tomás (Fr Fran de)
Stobaei (Ioannes)	Stobaei (Juan)
Strada (Jacob)	Strada (Jacob)
Stradae (Famiani)	Stradae (Famiani)
Strarovolsei (Simoni)	Strarovolsei (Simoni)
Streinii (Richardus)	Streinii (Richardus)
Strödmann (Christophorus)	Strödmann (Christophorus)
Struvii (Burchard Gott)	Struvii (Burchard Gott)
Sturmi (Georgii Adami)	Sturmi (Jorge Adami)
Suarez (D. Cipriani)	Suarez (D Cipriani)
Suarez (D. D. Pedro)	Suarez (D D Pedro)
Suarez (D. Miguel Jeronimo)	Suarez (D Miguel Jeronimo)
Suarez de Alarcon (D. Antonio)	Suarez de Alarcon (D Antonio)
Suarez de Langreo (D. Toribio)	Suarez de Langreo (D Toribio)
Suarez de Salazar (Juan Bautista)	Suarez de Salazar (Juan Bautista)
Suarez Figueroa (Dr. D. Christoval)	Suarez Figueroa (Dr D Christoval)
Suarez (P.D. Francisci)	Suarez (D Francisco)
Suarez (Roderici)	Suarez (Roderici)
Suarez y Cisneros (D. Miguel)	Suarez y Cisneros (D Miguel)
Suckio (To Guilelmo)	Suckio (To Guilelmo)
Suetonii (C.)	Suetonii (C.)
Summonte (Gio. Chit.)	Summonte (Gio Chit.)
Sunicæ (Didaci)	Sunicæ (Didaci)
Sunicæ (Jacobi dopidis)	Sunicæ (Jacobo dopidis)
Surii (Fr. Laurentii)	Surii (Fr Laurentii)
Surlet (Jo à Chokier de)	Surlet (Jo à Chokier de)
Sutholt (Fernandi)	Sutholt (Fernandi)
Suviecius (R.P. Constantino)	Suviecius (R.P Constantino)
Sylbio (Lamberto)	Sylbio (Lamberto)
Sylva (Josef de Seabra)	Sylva (Josef de Seabra)
Sylva (P. Francisco Maria)	Sylva (P Francisco Maria)
Sylveida (Miguel de)	Sylveida (Miguel de)
Sylvestre (Gregorio)	Sylvestre (Gregorio)
Symachi (J. Aurelii)	Symachi (J Aurelii)
Symeoni (Gabriel)	Symeoni (Gabriel)
Syna (Nic.)	Syna (Nic.)
Synphoniani (Iani Sutani)	Synphoniani (Iani Sutani)
Syria (Pedro)	Syria (Pedro)
Taboada (Ilmo. D. Cayetano Gil)	Taboada (D Cayetano Gil)
Taciti (Cornelii)	Taciti (Cornelii)
Talaei (Andronici)	Talaei (Andronici)
Tallada (Thomas Cerdan de)	Tallada (Tomás Cerdan de)
Tamaio de Vargas (F. Thomas)	Tamaio de Vargas (F Tomás)
Tamillio (Luis)	Tamillio (Luis)
Tamora (Alphonsi)	Tamora (Alphonsi)
Tanco (Diaz)	Tanco (Diaz)
Tapia (D. Gregorio)	Tapia (D Gregorio)
Tapia (D. Juan)	Tapia (D Juan)
Tapia (Lic. D. Juan de)	Tapia (Lic D Juan de)
Tapia y Salcedo (D. Gregorio)	Tapia y Salcedo (D Gregorio)
Tarapha (Canónigo Francisco)	Tarapha (Canónigo Francisco)
Targa (D. Carlos)	Targa (D Carlos)
Tari (Cll. Longier)	Tari (Cll Longier)
Tarin (Mr.)	Tarin (Mr.)
Tarsia (D. Pablo Antonio de)	Tarsia (D Pablo Antonio de)
Tarso (Torquato)	Tarso (Torquato)
Tassi (D. Juan)	Tassi (D Juan)
Tassoni (D. Alessandro)	Tassoni (D Alessandro)
Tatii (Achilis)	Tatii (Achilis)
Tavandri (Valentinus)	Tavandri (Valentinus)
Teichmeyer (Friderici)	Teichmeyer (Friderici)
Teivser (Antoine)	Teivser (Antoine)
Telimechi (Peregrinationes)	Telimechi (Peregrinationes)
Tellado (Fr. Buenav.)	Tellado (Fr Buenav.)
Tellier (Mauricio)	Tellier (Mauricio)
Tello (Fr. Diego)	Tello (Fr Diego)
Temmen (Henrico)	Temmen (Henrico)
Tempesta (Dominicus)	Tempesta (Dominicus)
Tena (D. Luis)	Tena (D Luis)
Tena (Ludovici)	Tena (Luis)
Tenleda (D. Jeronimo)	Tenleda (D Jeronimo)
Teran (Juan Antonio)	Teran (Juan Antonio)
Terenti Afri (Pub)	Terenti Afri (Pub)
Terentii (Elianci)	Terentii (Elianci)
Terentii (L. Afri)	Terentii (L Afri)
Terracina (Laura)	Terracina (Laura)
Terrero (P. Estevan)	Terrero (P Estevan)
Terroner (P. Antonio)	Terroner (P Antonio)
Tertuliano (J. Jo. Florente)	Tertuliano (J Jo Florente)
Tertuliano (S. Sept.)	Tertuliano (S Sept.)
Teuii (Jacobi)	Teuii (Jacobo)
Texera (Fr. Josef)	Texera (Fr Josef)
Thamara (Dr. Francisco)	Thamara (Dr Francisco)
Thebaldeo (Antonio)	Thebaldeo (Antonio)
Thery (M.)	Thery (M.)
Thesaurus (D. Manuel)	Thesaurus (D Manuel)
Thiri (Antonii)	Thiri (Antonio)
Thomani (D. Michaelis)	Thomani (D Miguel)
Thomari (Christiani)	Thomari (Christiani)
Thomari (Nicolaus Aonici)	Thomari (Nicolás Aonici)
Thomasi (H. Jacobi)	Thomasi (H Jacobo)
Thomasi (Jacobi)	Thomasi (Jacobo)
Thura (Alberti)	Thura (Alberti)
Thurmanni (Sarpario)	Thurmanni (Sarpario)
Tipotii (Jacobi)	Tipotii (Jacobo)
Tisot (Cler.)	Tisot (Cler.)
Titelmanni (Fr. Francisci)	Titelmanni (Fr Francisco)
Toletani (García)	Toletani (García)
Toletani (Joannis Petri)	Toletani (Joannis Pedro)
Toletani (Lic. Garcia)	Toletani (Lic Garcia)
Tolosate (Jo. Raymundi)	Tolosate (Jo Raymundi)
Tomasini (Jacobi Filippi)	Tomasini (Jacobo Filippi)
Tome (Pauli)	Tome (Pablo)
Tommasino (Ludovico)	Tommasino (Ludovico)
Topii (Nicolai)	Topii (Nicolás)
Toppi (Nicole)	Toppi (Nicole)
Tornamira (Francisco Vicente de)	Tornamira (Francisco Vicente de)
Toro (Fr. Gabriel)	Toro (Fr Gabriel)
Torquemada (Antonio)	Torquemada (Antonio)
Torquemada (D. Io.)	Torquemada (D Io.)
Torquemada (D. Jo. de.)	Torquemada (D Jo de.)
Torre (D. Fernando)	Torre (D Fernando)
Torre (D. Francisco de la)	Torre (D Francisco de la)
Torre (D. Josef)	Torre (D Josef)
Torre (M. Felipe de la)	Torre (M Felipe de la)
Torre (Rafaelle della)	Torre (Rafaelle della)
Torre y Orumbella (D. D. Josef)	Torre y Orumbella (D D Josef)
Torremis (Francisci)	Torremis (Francisco)
Torres (Bartholomeus)	Torres (Bartholomeus)
Torres de Velasco (D. Antonio)	Torres de Velasco (D Antonio)
Torres (D.º Diego)	Torres (º Diego)
Torres (El Conde de las)	Torres (El de las)
Torres (M. Alfonso)	Torres (M Alfonso)
Torres (Marqués de)	Torres (Marqués de)
Torres (P. Pedro de)	Torres (P Pedro de)
Torres (Padre Juan de)	Torres (Juan de)
Torres (Rev. P. Fr. Pedro de)	Torres (Rev P Fr Pedro de)
Torres Villarroel (D. Diego)	Torres Villarroel (D Diego)
Torres y Tapia (D. Alonso)	Torres y Tapia (D Alonso)
Torres y Villanuel (D. Diego)	Torres y Villanuel (D Diego)
Torrubia (Fr. Josef)	Torrubia (Fr Josef)
Tortado (el)	Tortado (el)
Tosca (D. Thomas Vicente)	Tosca (D Tomás Vicente)
Toscano (Francisco Soarez)	Toscano (Francisco Soarez)
Tostado (Alfonso)	Tostado (Alfonso)
Tostoni (Jo.)	Tostoni (Jo.)
Tovar (D. Simón)	Tovar (D Simón)
Tovar Valderrama (D. Diego)	Tovar Valderrama (D Diego)
Toximon (el Cardenal)	Toximon (el)
Tracastorici (Hyeronymi)	Tracastorici (Hyeronymi)
Tragono (D. Juan)	Tragono (D Juan)
Tranmiera (Didaci Garcia)	Tranmiera (Didaci Garcia)
Transie (Joachin)	Transie (Joachin)
Trapezunti (Georg.)	Trapezunti (Georg.)
Tratutwein (D. Gregorio)	Tratutwein (D Gregorio)
Trelles (D. Joaquin)	Trelles (D Joaquin)
Trentanii (Petri Pildori)	Trentanii (Pedro Pildori)
Treutleri (Hexonimi)	Treutleri (Hexonimi)
Trexo (D. Luis de)	Trexo (D Luis de)
Tribaldo Toledo (Ludovico)	Tribaldo Toledo (Ludovico)
Trilles (Vincent)	Trilles (Vincent)
Trillo (Antonio)	Trillo (Antonio)
Trillo y Figueroa (D. Francisco de)	Trillo y Figueroa (D Francisco de)
Trillo y Figueroa (D. Juan de)	Trillo y Figueroa (D Juan de)
Trincado (D. Manuel)	Trincado (D Manuel)
Tristan (Gaspar)	Tristan (Gaspar)
Tristan (Joan)	Tristan (Joan)
Tristany (D. Buenaventura)	Tristany (D Buenaventura)
Trithemius (Joan)	Trithemius (Joan)
Trulliant (Phileontis)	Trulliant (Phileontis)
Trullo (Jordi)	Trullo (Jordi)
Truxillo (P. F. Manuel Maria)	Truxillo (P F Manuel Maria)
Tuani (Jacobi Augusti)	Tuani (Jacobo Augusti)
Tuani (Jo.: Auj:)	Tuani (Jo.: Auj:)
Tubeni (Diodoni)	Tubeni (Diodoni)
Tunerbi (Adriani)	Tunerbi (Adriani)
Turniani (Francisci)	Turniani (Francisco)
Turriani (Francisci)	Turriani (Francisco)
Turricremata (D. Io. de)	Turricremata (D Io de)
Turricremata (Jao)	Turricremata (Jao)
Turritani (M. Alfoni)	Turritani (M Alfoni)
Turtureto (D. Vincentio)	Turtureto (D Vincentio)
Tutini (D. Camilo)	Tutini (D Camilo)
Tutor y Malo (D. Pedro)	Tutor y Malo (D Pedro)
Tuxonici (Gregorii)	Tuxonici (Gregorio)
Tuy (D. Lucas)	Tuy (D Lucas)
Tybulli (Catulli)	Tybulli (Catulli)
Ubeda (Francisco López de)	Ubeda (Francisco López de)
Ubeni (Olrici)	Ubeni (Olrici)
Uberte Balaguer (D. Anastasio)	Uberte Balaguer (D Anastasio)
Uberte Balaguer (D. Anastasio Cancellino)	Uberte Balaguer (D Anastasio Cancellino)
Ubilla (D. Antonio)	Ubilla (D Antonio)
Ucedo (D. Sebastián de)	Ucedo (D Sebastián de)
Ulloa (Alonso)	Ulloa (Alonso)
Ulloa (D. Alvaro Francisco de)	Ulloa (D Alvaro Francisco de)
Ulloa (D. Antonio de)	Ulloa (D Antonio de)
Ulloa (D. Bernardo de)	Ulloa (D Bernardo de)
Ulloa (D. Pedro)	Ulloa (D Pedro)
Ulzurrun (Michaelis)	Ulzurrun (Miguel)
Urbina (Exmo. Senor D. F. Pedro de)	Urbina (Senor D F Pedro de)
Urbina y Düsfusa (F. Cecilio Santos)	Urbina y Düsfusa (F Cecilio Santos)
Urbino (M. Gio Mario Alessandri D.)	Urbino (M Gio Mario Alessandri D.)
Ureña (Marques de)	Ureña
Uria (Fr. Benito)	Uria (Fr Benito)
Urrea (D. Jeronimo Ximenez de)	Urrea (D Jeronimo Ximenez de)
Urreña (D. Iuan Gonzalez)	Urreña (D Iuan Gonzalez)
Ursi (L. Iuan)	Ursi (L Iuan)
Ursino (Iulii)	Ursino (Iulii)
Urtaniz (P. Jerónimo de)	Urtaniz (P Jerónimo de)
Usexius (Iacoby)	Usexius (Iacoby)
Uztarroz (P. Juan Francisco Andrés)	Uztarroz (P Juan Francisco Andrés)
Vaenius (Ernestus)	Vaenius (Ernestus)
Vaii (amaboni)	Vaii (amaboni)
Vaillant (Jo. Toy)	Vaillant (Jo Toy)
Vairach (D. Abbe de)	Vairach (D Abbe de)
Vala (Antonio)	Vala (Antonio)
Valaguer (D. Anatasio Mancelino Oberte)	Valaguer (D Anatasio Mancelino Oberte)
Valate (P. Michael de)	Valate (P Miguel de)
Valcarcel (Excmo. Sr. D. D. Antonio)	Valcarcel (Excmo Sr D D Antonio)
Valchio (Jo. Ernesto)	Valchio (Jo Ernesto)
Valdecebro (P. M. Fr. Andrés fde)	Valdecebro (P M Fr Andrés fde)
Valdeflores (Cotarquer D.)	Valdeflores (Cotarquer D.)
Valderas (Franc.)	Valderas (Franc.)
Valderio (D. Jacobo)	Valderio (D Jacobo)
Valderio (Doctore Jacobo)	Valderio (Doctore Jacobo)
Valdés (F. Fernando Ortiz de)	Valdés (F Fernando Ortiz de)
Valdés (F. Francisco)	Valdés (F Francisco)
Valdivieso (Mtro. Josef D.)	Valdivieso (Mtro Josef D.)
Valencia (D. Melchorix)	Valencia (D Melchorix)
Valencia (Gregorii)	Valencia (Gregorio)
Valencia (Petri)	Valencia (Pedro)
Valenii (Maximi)	Valenii (Maximi)
Valentini (Io. Stephani)	Valentini (Io Esteban)
Valentini (Panchalis)	Valentini (Panchalis)
Valenzuela (Belarguez D. Io.)	Valenzuela (Belarguez D Io.)
Valenzuela (D. Joannis)	Valenzuela (D Joannis)
Valenzuela (D. Pedro)	Valenzuela (D Pedro)
Valenzuela (Francisci)	Valenzuela (Francisco)
Valeriano (Joanne Pierio)	Valeriano (Joanne Pierio)
Valerii (Augustini)	Valerii (Agustín)
Valerii Flaci (C.)	Valerii Flaci (C.)
Valeron (D.D. Eman. Romanus)	Valeron (D Eman Romanus)
Valla (Laurentius)	Valla (Laurentius)
Valladares (D. Antonio)	Valladares (D Antonio)
Vallanna (D. Franc. Maria)	Vallanna (D Franc Maria)
Vallemont (El Abad)	Vallemont (El Abad)
Valles (Lic. Francisco)	Valles (Lic Francisco)
Vallesii  Cobarrubiani (Francisci)	Vallesii Cobarrubiani (Francisco)
Vallesii (Francisci)	Vallesii (Francisco)
Vallis florum (Cuarchio)	Vallis florum (Cuarchio)
Valsalbone (Fr. Ricardo)	Valsalbone (Fr Ricardo)
Valtanas (Fr. Domingo de)	Valtanas (Fr Domingo de)
Valunzi (Estefanu)	Valunzi (Estefanu)
Valverde (D. Antonio Sanchez)	Valverde (D Antonio Sanchez)
Van espen (Zegeri Bernardi)	Van espen (Zegeri Bernardo)
Van. (Mr.)	Van (Mr.)
Vanden (D. Lorenzo)	Vanden (D Lorenzo)
Vander Burchio (Lamberto)	Vander Burchio (Lamberto)
Vander (Petrus)	Vander (Pedro)
Vandermueben (S.)	Vandermueben (S.)
Vanienii (Jacobi)	Vanienii (Jacobo)
Vañor de Velazco (D. Juan)	Vañor de Velazco (D Juan)
Vara y Caberon (D. D. Gabriel de)	Vara y Caberon (D D Gabriel de)
Varaei (Joannis)	Varaei (Joannis)
Vargas (Baltasar)	Vargas (Baltasar)
Vargas (Bernardo Perez de)	Vargas (Bernardo Perez de)
Vargas (D. Bernabe de)	Vargas (D Bernabe de)
Vargas (D. Bernardo)	Vargas (D Bernardo)
Vargas (D. Thomas Tamayo de)	Vargas (D Tomás Tamayo de)
Varronis (M. Terentii)	Varronis (M Terentii)
Varros (Alonso de)	Varros (Alonso de)
Vasconcellio (P. Antonio)	Vasconcellio (P Antonio)
Vasconcelos (D. Agustin Manuel)	Vasconcelos (D Agustin Manuel)
Vasrqui (Benedicto)	Vasrqui (Benedicto)
Vauban (M. le Marcohal)	Vauban (M le Marcohal)
Vauban (Mr. de)	Vauban (Mr de)
Vavaronius (Franc.)	Vavaronius (Franc.)
Vayen de Boutigni (Mr.)	Vayen de Boutigni (Mr.)
Vazquez (D. Ferdinandus)	Vazquez (D Ferdinandus)
Vazquez (D. Fernando Alonso)	Vazquez (D Fernando Alonso)
Vazquez (D. To)	Vazquez (D To)
Vazquez de Miranda (D. F. Alonso)	Vazquez de Miranda (D F Alonso)
Vazquez y (D. Ferdinandus)	Vazquez y (D Ferdinandus)
Vecilla (Pedro de la)	Vecilla (Pedro de la)
Vedmar (D. Francisco)	Vedmar (D Francisco)
Vega Carpio (D. Félix de)	Vega Carpio (D Félix de)
Vega Carpio (Dr. Fr. Lope Feliz de)	Vega Carpio (Dr Fr Lope Feliz de)
Vega Carpio (Lope de)	Vega Carpio (Lope de)
Vega. (D. Antonio López)	Vega (D Antonio López)
Vega (D. Francisco de)	Vega (D Francisco de)
Vega (Fr. Damian de)	Vega (Fr Damian de)
Vega (Garcilaso de)	Vega (Garcilaso de)
Vegeno (L.)	Vegeno (L.)
Vegetii (Flavii)	Vegetii (Flavii)
Veigel (Josef Antonio)	Veigel (Josef Antonio)
Veitia (D. Josef)	Veitia (D Josef)
Vela (D. Jacopo)	Vela (D Jacopo)
Velasco (Alvarus)	Velasco (Alvarus)
Velasco (D. Gabriel Abaxen)	Velasco (D Gabriel Abaxen)
Velasco (D. Juan Bautista Gil)	Velasco (D Juan Bautista Gil)
Velasco (D. Pedro Fernandez)	Velasco (D Pedro Fernandez)
Velasco de Medinilla (D. Pedro)	Velasco de Medinilla (D Pedro)
Velasco Gouvea (F. Francis)	Velasco Gouvea (F Francis)
Velasco (Juan de)	Velasco (Juan de)
Velasco (Juan Lopez)	Velasco (Juan Lopez)
Velasco y Trevexo (D. Juan Banoz)	Velasco y Trevexo (D Juan Banoz)
Velazquez (D. Luis Jose)	Velazquez (D Luis Jose)
Velazquez de Velasco (D. Alonso)	Velazquez de Velasco (D Alonso)
Velazquez (Didaco)	Velazquez (Didaco)
Velazquez (Pedro)	Velazquez (Pedro)
Velazquez Sanzmento (D. José de Alarcos)	Velazquez Sanzmento (D José de Alarcos)
Velez Marín (D. Manuel)	Velez Marín (D Manuel)
Velkery (Augustus)	Velkery (Augustus)
Vellonillo (A. Ferdinandi)	Vellonillo (A Ferdinandi)
Velseri (Marci)	Velseri (Marcos)
Velvo (Sulielmo)	Velvo (Sulielmo)
Venavides (Didaci)	Venavides (Didaci)
Venegas (Alex.)	Venegas (Alex.)
Venegas (P. Eligio)	Venegas (P Eligio)
Venero (R. P. Fr. Alonso)	Venero (R P Fr Alonso)
Veneti (Marcii Pauli)	Veneti (Marcii Pablo)
Venetia (P. Paolo)	Venetia (P Paolo)
Ventivollo (El Cardenal)	Ventivollo (El)
Ventura (Conin)	Ventura (Conin)
Venutini (Boiard)	Venutini (Boiard)
Vera (Juan Antonio de)	Vera (Juan Antonio de)
Vera y Figueora (D. Fran)	Vera y Figueora (D Fran)
Vera y Zuñiga (D. Juan Antonio)	Vera y Zuñiga (D Juan Antonio)
Veranio (D. Placido)	Veranio (D Placido)
